,$c_{1}$,$c_{2}$,$c_{3}$,$y_{1}$,$y_{2}$,$y_{3}$,$t$,ExpValue,Successor,$j^*$,$m$,$r_{j}-OC_{j}$
11,1,1,0,0,0,0,3,678.0625,"[10, 34, 30]",1,IH[0 0 1],618.0
30,0,1,0,0,0,1,2,692.0,"[41, 29, 37]",2,IH[0 0 1],1640.0
10,1,1,0,0,0,0,2,174.0,"[9, 17, 21, 29, 33]",2,AA,140.0
17,1,0,0,0,0,1,1,30.0,"[16, 40, 36]",1,AA,100.0
21,1,0,0,0,0,0,1,30.0,"[40, 44, 20]",1,AA,100.0
29,0,1,0,0,0,1,1,60.0,"[40, 36, 28]",2,AA,200.0
9,1,1,0,0,0,0,1,90.0,"[8, 32, 28, 20, 16]",2,AA,200.0
28,0,1,0,0,0,1,0,0.0,['end'],0,-,0.0
20,1,0,0,0,0,0,0,0.0,['end'],0,-,0.0
16,1,0,0,0,0,1,0,0.0,['end'],0,-,0.0
8,1,1,0,0,0,0,0,0.0,['end'],0,-,0.0
37,0,0,0,0,0,2,1,1500.0,"[44, 36]",3,LE,5000.0
36,0,0,0,0,0,2,0,0.0,['end'],0,-,0.0
34,0,1,0,0,0,0,2,116.0,"[33, 45, 41]",2,AA,140.0
45,0,0,0,0,0,0,1,0.0,[44],0,KA,0.0
41,0,0,0,0,0,1,1,0.0,[40],0,KA,0.0
33,0,1,0,0,0,0,1,60.0,"[32, 40, 44]",2,AA,200.0
40,0,0,0,0,0,1,0,0.0,['end'],0,-,0.0
44,0,0,0,0,0,0,0,0.0,['end'],0,-,0.0
32,0,1,0,0,0,0,0,0.0,['end'],0,-,0.0
